,x,y,c
0,-212.94666,-53.115913,1
1,-50.5587,131.82744,4
2,72.74266,-102.52527,2
3,-227.84094,18.485327,14
4,42.992928,19.322544,10
5,-108.823845,-15.676679,1
6,-16.813763,-122.78707,11
7,116.26491,73.01308,7
8,-185.82697,114.22668,8
9,187.4954,-75.47561,7
10,26.24956,-90.99818,11
11,-48.36825,186.0929,3
12,37.87795,34.41218,10
13,17.635708,168.99149,3
14,-152.41022,-54.84242,9
15,40.511147,-28.572832,11
16,-63.38897,-177.4826,6
17,-110.41275,-187.40897,6
18,-144.77306,-117.609505,9
19,25.827427,32.676373,10
20,-151.40465,150.45668,8
21,-126.10347,-51.150757,9
22,18.249792,-10.380375,10
23,-33.081024,68.09751,4
24,23.790632,178.15321,3
25,73.58336,103.02639,15
26,16.047152,-129.24483,11
27,-213.74084,21.553587,14
28,16.8544,-67.59022,11
29,-68.17096,-40.615074,9
30,-110.26392,111.27187,8
31,-99.53539,120.80289,4
32,-23.68362,30.186987,4
33,247.60802,42.310955,12
34,-137.46935,49.37531,4
35,124.117744,-149.38026,13
36,-165.54184,-72.52208,9
37,123.59445,-64.76617,2
38,16.726925,163.48643,3
39,213.46701,-5.1183248,12
40,131.60323,22.068678,11
41,121.26071,-54.9674,2
42,-169.34853,-68.29041,9
43,-58.824623,25.420376,4
44,-17.163464,76.152306,4
45,-56.736168,42.845337,4
46,116.43594,-21.89329,2
47,36.982388,13.894509,2
48,-34.045525,-106.16832,11
49,37.293682,89.61599,15
50,53.208813,35.202847,2
51,-88.488884,190.57948,8
52,21.975426,-25.35263,11
53,35.701927,-63.94927,11
54,-84.97038,-184.66858,6
55,-147.24051,19.728672,14
56,0.9404341,-146.48412,11
57,75.5974,61.17815,7
58,-113.746864,118.17257,8
59,-172.32404,-79.78005,9
60,136.30115,84.32137,7
61,-18.519133,25.792522,4
62,21.807953,168.50882,3
63,44.97102,209.89989,3
64,75.163635,-92.18251,2
65,167.67319,111.24071,7
66,-128.86574,-106.110756,9
67,29.601929,-205.49576,5
68,42.890686,-2.8486025,2
69,-42.680183,-93.23221,11
70,76.39129,214.12689,3
71,-198.80115,16.545433,14
72,-165.42812,111.463005,8
73,86.27967,199.38954,3
74,38.98693,71.11362,15
75,-17.434946,-66.1943,11
76,-49.525894,190.3024,8
77,-145.3715,-26.361404,9
78,183.44743,-86.43645,13
79,46.837856,82.18764,15
80,34.767162,-88.15286,11
81,18.804552,197.22119,3
82,-62.197598,-46.84459,9
83,-63.225304,74.37366,4
84,-76.24627,-43.28912,9
85,153.13379,67.34961,7
86,-181.8546,114.53054,8
87,-142.66518,25.410482,14
88,-176.35202,-21.219105,1
89,152.51543,43.014027,7
90,-153.718,157.10117,8
91,-64.58457,-181.19322,6
92,-68.39576,-67.65852,9
93,-55.020164,-132.10835,11
94,-147.30927,-115.02367,9
95,-62.668903,-102.638054,11
96,45.479866,-121.06213,11
97,15.516335,171.69427,3
98,225.65274,18.092451,12
99,-0.68699074,201.90825,3
100,-157.1986,-90.26957,9
101,-43.49384,51.18561,4
102,35.586636,-15.460719,2
103,-118.7412,134.64592,8
104,-9.385309,-148.99147,11
105,81.71886,-75.42727,2
106,-145.69745,-124.30452,9
107,-2.145884,-17.58061,9
108,-70.27776,99.215675,4
109,4.016676,-5.075175,10
110,-215.30182,-47.80489,1
111,86.449814,168.6192,3
112,23.471785,149.17203,3
113,60.355576,-122.76057,11
114,-9.074464,180.69363,3
115,-13.773082,172.7567,4
116,-120.1825,-175.58289,6
117,-178.67432,61.16224,14
118,-18.33735,-250.56563,5
119,16.176565,-202.3495,5
120,68.879456,73.22154,2
121,-33.41153,26.197128,4
122,80.774315,29.739483,7
123,-8.0733385,-81.05622,11
124,262.7176,47.795452,12
125,-157.49518,18.134928,14
126,-57.860237,-6.0022707,4
127,134.69878,-24.771675,2
128,-29.847672,185.98732,3
129,-212.11456,0.9822482,14
130,-170.14423,-81.37368,9
131,146.90013,16.264198,12
132,103.71814,-145.44226,13
133,246.2085,-7.198044,12
134,-180.11732,29.293173,14
135,-78.912125,-180.1694,6
136,-46.635616,-68.75782,11
137,-86.13994,90.5519,4
138,-40.197308,-71.24804,11
139,-76.2348,0.52771187,9
140,-63.628098,25.195433,4
141,177.02133,-24.086088,2
142,215.07588,55.090363,12
143,-137.67107,123.355545,8
144,219.77882,68.51498,12
145,-153.37488,-0.43427208,9
146,14.724854,145.50432,3
147,252.5806,38.87089,12
148,-12.72329,-228.85855,5
149,104.67398,-198.5036,13
150,87.27137,-156.9002,13
151,-4.187239,-144.60582,11
152,24.272057,-75.66795,11
153,268.3782,27.653133,12
154,-27.403955,-26.430601,11
155,94.28786,2.2987628,2
156,46.88872,205.72365,3
157,-165.82013,-43.77393,9
158,-60.377907,47.668026,4
159,171.68518,-36.644836,2
160,5.427646,-229.75986,5
161,-28.894535,-68.69919,11
162,-41.423893,45.450928,4
163,98.09588,50.103252,7
164,-71.37087,179.58452,8
165,108.202126,176.32733,12
166,-37.096527,-128.3531,11
167,-64.71975,-58.687473,9
168,-190.42117,80.26055,8
169,-10.390131,90.59093,4
170,36.12379,83.28482,15
171,-164.80775,7.6549134,14
172,208.54428,-18.488926,12
173,-85.49784,13.437527,9
174,77.941666,174.04521,12
175,19.61967,-203.60667,5
176,113.66492,81.54491,7
177,-134.36357,-122.601364,9
178,-61.670044,55.447273,4
179,-48.44315,-27.473127,11
180,-50.906364,61.188198,4
181,86.36846,191.87018,3
182,-31.729137,128.92693,4
183,88.528145,-149.98586,13
184,-2.8659463,144.1651,4
185,158.97287,-46.82078,2
186,33.713226,-64.0055,11
187,-64.08845,126.369,4
188,167.98038,-88.13482,2
189,160.27948,-5.3987255,7
190,-170.31615,87.23924,8
191,-208.73085,-42.828167,1
192,-34.085705,190.75049,3
193,35.573673,83.07901,15
194,-118.23744,-170.15602,6
195,-33.915516,-243.03319,5
196,-128.03088,-27.015905,9
197,181.30145,-106.95342,13
198,76.1744,196.17262,3
199,-32.601345,70.930786,4
200,63.464737,35.772633,2
201,235.97925,56.895874,12
202,-29.859873,-56.224377,11
203,-124.39475,-193.72115,6
204,102.77218,-10.916626,2
205,-100.86294,111.538765,4
206,-34.218323,-129.79578,11
207,-90.23977,-64.555214,9
208,-215.72948,64.78404,14
209,51.557243,-35.67805,2
210,-163.24734,93.08632,8
211,-165.66994,-59.260883,9
212,-120.02934,-29.335623,9
213,-148.29292,-124.8262,9
214,-147.22357,-118.01364,9
215,14.677763,-68.38387,11
216,275.28516,26.097654,12
217,-39.039307,57.18354,4
218,-155.17416,156.03775,8
219,-205.09985,-56.96599,1
220,-48.587444,130.75331,4
221,-36.717346,-102.67838,11
222,1.3621447,204.25346,3
223,-182.27357,83.465454,8
224,66.57053,48.370605,11
225,-161.98306,-86.53466,9
226,-46.655846,139.51534,4
227,-12.575648,-222.44244,5
228,-59.623367,-121.952705,11
229,-111.46934,-121.58763,9
230,-5.062896,187.2774,3
231,-187.85536,112.39471,8
232,-200.7515,-40.449432,1
233,-163.51701,101.50183,8
234,-66.325294,-196.40005,6
235,-35.887177,-228.58289,5
236,174.7157,94.62801,7
237,12.0667095,4.5464315,10
238,-15.398727,159.90793,4
239,42.405376,-138.16135,11
240,165.52165,-0.30012178,7
241,-26.801817,-230.94276,5
242,-95.54163,-182.88702,6
243,-4.9726677,-251.03038,5
244,-183.14442,130.68,8
245,-45.2154,-2.7915256,4
246,-147.2649,151.49654,8
247,113.60971,-34.972595,2
248,-30.913837,123.931145,4
249,63.168186,127.598236,15
250,58.763264,209.64516,3
251,47.592224,-172.22476,5
252,70.34383,-51.392296,2
