,x,y,c
0,172.81094,2.1613333,3
1,-191.21513,148.90718,4
2,44.803024,92.92038,14
3,54.27971,197.18217,8
4,70.86382,-28.377556,6
5,-157.49356,28.807411,4
6,102.91771,150.50298,8
7,-130.00493,160.99352,4
8,-60.830147,-171.027,11
9,32.525467,-120.20632,15
10,-30.749819,-90.26036,10
11,-79.32979,-204.9703,11
12,-185.74284,56.21639,4
13,-38.987686,99.743835,4
14,-149.40862,65.659645,4
15,31.132921,-95.56777,15
16,-122.84071,-72.883125,11
17,56.342777,-15.873686,9
18,93.9868,78.72463,8
19,195.6985,46.85424,3
20,63.122078,-180.7511,2
21,-118.68439,-123.49406,11
22,-84.3582,109.15998,4
23,211.16222,-92.603065,5
24,-86.091484,39.15197,4
25,-129.02068,-1.1372012,4
26,-189.5009,-71.15748,11
27,-52.700382,-0.0048174052,1
28,1.4426901,144.92776,8
29,-29.869423,-152.95505,15
30,80.60551,31.909008,4
31,-98.14672,32.277824,4
32,-40.365192,174.81567,4
33,-101.79856,59.004444,4
34,44.72078,235.22746,8
35,-69.6783,-211.27556,11
36,15.918953,42.698673,14
37,-111.64793,-170.07248,11
38,-11.074551,77.816956,14
39,8.385539,79.22336,14
40,57.363674,237.12248,8
41,23.179876,-23.922401,9
42,50.23381,-165.25273,2
43,-16.57422,-177.2316,2
44,177.94485,51.83982,3
45,90.06667,218.0502,8
46,-34.132347,-214.47107,7
47,-78.93096,147.32784,4
48,-33.322456,-1.9888327,9
49,-58.182606,152.53307,4
50,-175.25084,-20.94799,11
51,-223.02795,-88.9366,11
52,-114.33995,50.01453,4
53,40.9143,91.07832,14
54,7.366695,-114.10311,15
55,150.75337,-58.786587,12
56,-152.60197,39.670288,4
57,71.58477,-169.56271,2
58,-22.494427,42.666607,1
59,-46.67346,-83.942406,9
60,79.98181,-36.906498,6
61,69.437836,204.68259,8
62,70.26703,-40.83639,6
63,10.48175,72.28552,14
64,-30.710358,-204.73735,7
65,-173.13602,-118.8773,11
66,78.03404,110.34542,8
67,78.653656,-54.848053,6
68,-169.48938,97.95183,4
69,-160.6216,-51.333916,11
70,73.625626,-133.69211,2
71,-189.72298,-100.44798,11
72,-76.13827,-57.963276,1
73,-124.82323,33.28284,4
74,83.44153,141.2136,8
75,-119.67843,-116.21143,11
76,-21.533358,-241.84474,7
77,32.67961,45.040077,14
78,78.447945,-33.49211,6
79,-108.790344,-179.56862,11
80,51.887394,-156.3418,2
81,-27.078667,-27.93128,9
82,-149.96196,105.86689,4
83,157.83087,37.536793,3
84,-36.938557,116.27897,4
85,41.425373,125.494316,8
86,57.639004,18.802738,1
87,40.814743,221.8958,8
88,94.544106,-41.004753,6
89,139.43034,-57.149143,12
90,83.13403,-141.7018,2
91,-168.429,-140.42267,11
92,3.3906977,159.81555,8
93,-80.00707,-38.874176,9
94,-130.23541,-121.53575,11
95,-208.03693,-87.05324,11
96,-156.38382,30.083746,4
97,-10.349113,-19.360313,9
98,76.01155,-43.828964,6
99,-60.644238,8.365151,9
100,-42.31883,29.540525,1
101,9.74769,95.77325,14
102,13.247415,-47.80008,9
103,-13.909176,205.49605,8
104,-82.25466,169.21178,4
105,151.56633,118.063736,8
106,-129.38187,-53.789154,11
107,-217.30045,-32.092297,11
108,-142.91121,51.080296,4
109,-97.27923,-176.75537,11
110,-132.6031,54.41243,4
111,-194.45499,68.79094,4
112,-57.185593,124.7217,4
113,-196.70267,-98.61231,11
114,122.12534,35.83749,3
115,143.71855,106.56305,8
116,-162.0067,-137.06358,11
117,-65.11107,178.1029,4
118,178.15149,19.464613,3
119,-105.78191,49.474762,4
120,-181.01048,-100.40196,11
121,-59.662216,25.205116,1
122,24.981222,192.83365,8
123,-28.306555,128.10185,4
124,26.505964,203.27422,8
125,-16.432487,-249.04276,7
126,192.50409,-10.007729,3
127,-10.527887,61.593025,14
128,-167.8054,86.13881,4
129,3.1347792,219.7761,8
130,127.24809,179.66858,8
131,-8.604133,-136.0817,15
132,115.59273,170.71571,8
133,-211.7914,-61.279144,11
134,28.3618,146.19312,8
135,-185.58876,-139.18974,11
136,-215.87222,-89.85767,11
137,-159.3742,-74.40429,11
138,-201.89816,41.512188,4
139,-214.09819,-37.80903,11
140,-59.701473,-21.99302,1
141,45.260265,7.3029895,9
142,213.64143,-91.92052,5
143,81.056274,212.59344,8
144,84.650734,191.63623,8
145,-147.37367,45.72072,4
146,-176.59029,141.67305,4
147,48.86238,219.96823,8
148,-34.978188,-61.802513,9
149,51.61043,167.40317,8
150,-102.64084,-114.229195,11
