,x,y,c
0,133.20392,-31.141611,14
1,30.188322,-14.877505,4
2,46.520164,49.263916,1
3,98.26375,-130.14284,4
4,82.73983,-34.319447,4
5,-86.13835,146.53447,11
6,-8.276218,23.272436,10
7,-24.020567,-177.01709,8
8,81.59939,-93.29408,4
9,93.636536,-2.9841883,4
10,-32.833298,65.883415,15
11,-167.82117,130.37784,12
12,35.631557,38.265347,9
13,207.38542,82.63868,3
14,21.677828,-225.91911,8
15,151.96922,-22.513788,14
16,-26.883427,-244.06113,8
17,-94.31391,-18.104212,2
18,-21.07137,172.21164,11
19,93.40104,-43.970226,4
20,-166.14018,-65.19183,13
21,-59.916912,55.66241,15
22,-73.65454,67.687195,15
23,96.46083,80.404945,9
24,60.90368,-143.8821,4
25,-23.463161,97.26163,11
26,12.935619,-199.91933,8
27,-110.28369,67.80714,12
28,-136.90494,74.378334,12
29,-21.417067,-240.68784,8
30,63.77997,-186.49203,8
31,25.245695,-132.0856,8
32,51.241215,22.678297,9
33,-195.09575,106.87475,12
34,-3.9313004,-217.6378,8
35,66.6547,11.262996,9
36,-90.929474,47.621708,15
37,29.676456,-219.5777,8
38,20.98428,37.67198,9
39,-129.2684,-57.416843,2
40,-183.78117,-80.44517,13
41,115.247086,24.551857,1
42,86.54497,82.195885,9
43,100.4959,-172.29161,4
44,-80.17009,-149.61313,7
45,-45.81799,-223.25409,8
46,42.28719,-145.70628,8
47,-131.94855,149.22453,12
48,-67.88942,-47.108616,2
49,-9.142836,-7.3509235,10
50,27.117609,-156.60289,8
51,242.57962,-14.972902,3
52,93.21812,64.097534,9
53,33.155552,-62.566284,4
54,16.295382,-108.85313,14
55,-160.10272,101.766975,12
56,64.78788,-140.59877,4
57,30.042645,-231.65858,8
58,72.5636,-191.42464,8
59,214.56332,-32.38325,4
60,135.5617,-62.794697,4
61,-115.20622,-20.607676,2
62,-40.925957,50.990223,11
63,-77.16925,-145.37135,7
64,123.750084,-147.07175,4
65,-1.2446839,216.60228,11
66,-2.1713977,-94.635376,7
67,-135.32324,110.33988,12
68,-138.90276,53.147762,12
69,35.406525,160.11896,11
70,188.93617,116.85938,3
71,245.42012,-29.417374,3
72,-43.251583,18.62859,11
73,49.685703,-190.10428,8
74,-21.352116,194.84653,11
75,12.070501,-21.845673,4
76,17.96898,-189.163,8
77,-129.12051,126.13852,12
78,-245.60669,6.2249713,5
79,256.97723,19.895405,3
80,165.84978,-125.00141,4
81,-4.9764643,61.15905,4
82,103.38161,133.54659,6
83,-163.83597,42.93614,12
84,120.14527,148.5387,6
85,-104.37841,97.81023,11
86,215.02242,51.848118,3
87,182.2382,8.377874,3
88,9.577975,16.926386,9
89,16.934834,-65.71182,4
90,119.28179,167.21153,6
91,117.227486,-87.0215,4
92,184.24178,96.62357,3
93,234.40042,18.981888,3
94,-37.921494,210.18234,11
95,119.00453,194.22537,6
96,214.07544,10.758879,3
97,103.66342,114.55537,6
98,-6.2410793,70.37887,15
99,-158.1377,-58.347366,13
100,152.62402,-16.716354,14
101,-220.47243,-5.016959,5
102,-36.72548,-217.85512,8
103,-22.52208,-35.167988,2
104,-225.91382,-88.48706,13
105,-56.329784,134.8109,11
106,147.21681,-75.65919,4
107,75.107155,54.772343,9
108,-58.820137,-59.438866,2
109,-17.564327,-174.9865,8
110,-39.801666,-51.950336,2
111,67.17176,-157.2052,4
112,-223.21103,-94.21638,13
113,-9.21928,144.68254,11
114,140.75888,-35.235073,14
115,67.22195,-50.03682,4
116,-95.19318,-86.5388,7
117,250.11693,24.350067,3
118,-101.567055,-54.450256,2
119,159.65791,-46.05128,14
120,119.9082,191.1714,6
121,27.066725,10.262988,4
122,168.81807,17.467583,9
123,4.582344,68.24469,10
124,-143.08975,-43.146454,2
125,1.2401683,219.92146,11
126,-84.15844,19.642452,15
127,-48.719856,60.929768,15
128,170.33002,-50.776814,4
129,-198.4238,25.234785,5
130,-82.41468,77.06486,15
131,-75.2395,-44.72761,2
132,-111.48695,-28.695896,2
133,150.37737,152.85889,6
134,122.61988,-80.52453,4
135,224.90825,9.374582,3
136,202.0453,58.025806,3
137,-21.754488,-97.69471,7
138,114.01057,1.8536885,9
139,120.311325,-80.157486,4
140,-100.302895,53.71195,15
141,-231.28754,12.187818,5
142,-45.417496,-228.30138,8
143,78.80218,-135.46747,4
144,-18.4674,-208.75992,8
145,-77.75857,-81.5234,7
146,-224.61932,-115.66228,13
147,232.49022,-11.876784,3
148,7.036315,-12.668576,11
149,162.877,-105.76043,4
150,181.22801,44.048386,9
151,38.752777,1.7462473,11
152,-150.09679,111.96223,12
153,118.58865,6.887831,9
154,107.84937,-136.65402,4
155,11.912063,-38.040646,4
156,77.952545,65.86788,9
157,131.57759,-81.46374,4
158,249.87444,-23.820045,3
159,0.09566332,-164.38448,8
160,133.80812,-105.89711,4
161,-99.790054,-9.170047,2
162,-8.417499,145.10942,11
163,68.90872,15.876042,9
164,244.46895,-4.8126183,3
165,142.6334,-21.545921,14
166,60.491688,-3.2697816,9
167,-69.7559,111.59678,11
168,118.84272,4.074223,9
169,-44.135754,-224.41563,8
170,39.190372,-36.214474,4
171,65.56779,4.9717445,9
172,12.892321,-163.18817,8
173,-111.02317,45.22982,15
174,113.53519,30.342653,1
175,-43.497326,5.1973023,10
176,-65.76245,180.42612,11
177,61.654343,142.90666,4
178,128.50894,-38.13707,14
179,224.21193,51.316822,3
180,64.85258,-26.542587,4
181,-160.06056,74.928696,12
182,20.691511,134.40068,11
183,-233.28116,16.73499,5
184,74.46133,-53.60401,4
185,-108.06993,-116.57625,7
186,60.36175,72.3047,9
187,28.167585,-78.17914,4
188,-5.2244368,32.27445,11
189,4.1000123,-198.99954,8
190,231.23524,20.412651,3
191,-72.63784,-130.83257,7
192,-15.173172,-33.404495,10
193,-160.64275,40.75982,12
194,3.1627996,28.35761,11
195,-32.99586,-63.144085,2
196,144.19463,-24.846323,14
197,126.20152,7.059964,9
198,-31.254053,48.40995,11
199,30.686447,-66.5194,4
200,221.73581,22.838303,3
201,184.6661,103.62852,3
202,107.94351,-121.62133,4
203,24.568134,-156.17355,8
204,48.164886,160.84207,11
205,-57.7357,182.99103,11
206,4.4270234,179.88301,11
207,-123.59555,-121.69201,7
208,-8.460979,-167.52248,8
209,158.28703,18.08661,14
210,93.549675,-147.24982,4
211,-164.12297,33.765915,12
212,81.70445,40.049892,9
213,14.45359,-28.863777,4
214,-0.98511064,-223.48,8
215,-13.015443,-166.41727,8
216,76.76968,-145.63145,4
217,-115.28163,116.01224,12
218,-48.307926,217.30467,11
219,-165.8758,138.49132,12
220,139.012,-112.71548,4
221,-204.8914,2.0891352,5
222,160.81032,-128.63815,4
223,-218.18001,-6.1505866,5
224,77.80899,-194.82358,8
225,-246.7397,20.940264,5
226,-100.201035,-62.247307,2
227,-175.97519,80.80389,12
228,221.40924,5.0958805,3
229,-6.7525406,33.571087,11
230,79.05424,66.382225,9
231,253.6718,30.373789,3
232,171.61856,-46.131714,4
233,10.41019,43.004005,11
234,46.74944,-154.04178,8
235,10.097453,-235.20035,8
236,-58.463306,131.91235,11
237,-24.234997,46.306858,11
238,94.23286,-32.184917,4
239,-111.66981,45.96132,15
240,229.31488,-12.854382,3
241,-20.727333,199.29196,11
242,42.22037,62.450394,9
243,81.837494,-155.52126,4
244,-19.574972,199.8968,11
245,116.264175,102.873116,6
246,136.10025,70.41218,1
247,139.29294,9.017781,14
248,84.36664,-145.98337,4
249,261.05713,4.14898,3
250,42.163723,9.736632,9
251,116.53732,-145.50844,4
252,83.83636,68.2305,9
253,36.14191,-20.749784,4
254,180.19951,19.0785,3
255,153.46655,96.171196,3
256,135.17294,-101.18937,4
257,35.958958,-116.178795,14
258,-55.255356,153.14905,11
259,-11.536241,102.22622,11
260,-243.26143,-18.452192,5
261,41.50897,-119.870094,14
262,217.16428,0.3521072,3
263,92.24306,-152.42892,4
264,-190.03896,97.54856,12
265,24.502125,-58.646877,4
266,183.09445,-34.40319,4
267,126.54229,157.29764,6
268,-10.783983,-190.53139,8
269,144.95581,52.046326,14
270,112.22429,-159.36461,4
271,-25.335392,-229.6975,8
272,0.7098813,-193.66035,8
273,-140.48541,-106.760925,7
274,-164.07404,104.36631,12
275,235.47583,-8.142308,3
276,-5.4801855,52.213642,11
277,-73.24129,17.71912,15
278,-38.61044,-49.113125,2
279,23.761255,-222.33867,8
280,135.93341,-112.94369,4
281,239.41997,-34.051735,3
282,239.45454,26.255466,3
283,49.7864,-211.02837,8
284,96.28688,-93.548775,4
285,44.533184,-203.28223,8
286,-199.64851,-13.467906,5
287,-178.25314,53.226982,12
288,-46.972824,91.61309,11
289,-100.12837,-3.328187,2
290,58.313244,-141.67427,4
291,-145.22638,-4.1889305,2
292,29.512356,-208.87447,8
293,146.20906,-132.06664,4
294,32.5619,-10.001248,4
295,-123.62968,-23.530403,2
296,-71.72341,97.219124,11
297,62.407116,-193.70645,8
