,x,y,c
0,84.58295,49.97414,12
1,44.822056,-66.661224,10
2,-84.44233,6.3574576,11
3,-66.534,66.3096,7
4,-258.15002,-19.320278,8
5,-205.57011,-74.10499,14
6,-12.927645,-67.40285,6
7,-103.52653,-139.98335,14
8,164.75562,159.79593,13
9,-1.3462358,-148.85056,9
10,-1.9001325,-123.1131,9
11,-199.13152,-66.63088,14
12,-23.864513,150.16602,7
13,-0.14655115,76.27499,2
14,-182.26093,12.956853,3
15,174.64394,-3.5192828,13
16,38.279472,208.95369,13
17,-84.27475,162.30333,7
18,-37.256058,52.723675,2
19,139.34624,-146.09108,15
20,37.49732,-200.61183,1
21,-116.170456,-3.7482507,11
22,-57.72853,-25.851389,11
23,-9.867653,-188.64975,1
24,-202.84026,-12.414405,8
25,99.3797,-4.269483,12
26,-177.36578,-65.41805,14
27,18.177715,71.48938,2
28,90.790375,137.88335,13
29,-252.28886,-18.365194,8
30,70.98061,35.408455,12
31,170.41402,143.16576,13
32,-205.19687,-36.06318,8
33,-77.213585,-108.16334,9
34,-185.81339,-55.237896,14
35,-33.622284,-48.062645,9
36,-189.70119,24.363161,3
37,46.465397,-136.63594,6
38,22.642279,62.408375,2
39,-51.328163,-34.833706,11
40,-26.57929,29.635845,2
41,104.86759,-23.75779,12
42,-37.991623,109.74575,7
43,169.41994,-90.50034,15
44,75.275024,81.8864,2
45,-15.260948,-240.05638,1
46,-248.72609,-18.89929,8
47,-85.245155,-164.40013,1
48,-76.91952,80.76573,7
49,-136.03043,153.04,7
50,-261.56943,23.772463,8
51,106.64536,204.26274,5
52,-161.43735,85.7756,3
53,-12.172232,-49.750465,2
54,-125.82344,-141.33633,14
55,60.30604,116.61765,5
56,-134.21152,65.4021,3
57,79.42181,-147.61429,15
58,-140.40562,-34.48312,4
59,-118.77253,-110.4334,14
60,119.66947,-65.38381,2
61,13.951783,79.87825,2
62,58.57361,-109.52487,6
63,40.186504,-127.59229,6
64,-0.69225854,68.73327,2
65,-140.0263,-162.41463,14
66,49.285843,163.74466,13
67,-106.30469,-15.082124,11
68,16.387072,90.57496,2
69,105.13636,193.4085,5
70,-238.395,-38.53364,8
71,-250.75343,-23.261951,8
72,95.30326,-168.76802,15
73,-162.13933,88.57105,3
74,87.67858,-178.4133,15
75,35.165485,-2.7206433,9
76,-172.19453,-110.777054,14
77,-269.58316,3.5507262,8
78,-125.66488,-72.99308,4
79,-210.84744,-30.78869,8
80,141.92946,-78.775444,15
81,-60.93926,2.9171553,11
82,-137.1602,-11.128249,3
83,-127.40139,-53.777905,4
84,-6.5189395,27.341295,2
85,28.916368,89.67124,2
86,-118.50401,119.26651,7
87,-100.44958,3.7869644,11
88,108.40909,-22.56898,12
89,-146.94205,-138.24493,14
90,-168.27568,63.8279,3
91,-187.62341,-86.92882,14
92,-6.2968407,-138.62505,9
93,15.821743,-3.0180976,2
94,-92.606316,-43.90401,11
95,-14.488653,-48.923332,10
96,21.362568,50.939594,2
97,-49.005234,-183.51117,1
