,x,y,c
0,-49.170055,-97.837746,14
1,-80.80967,-70.587425,4
2,33.148743,-37.62648,11
3,-88.03561,-209.1121,8
4,42.822437,-176.71953,3
5,-23.745132,-116.93165,4
6,60.729286,-150.28523,3
7,40.021477,108.64608,2
8,57.57204,-158.30019,3
9,-177.40979,42.170788,4
10,-69.38422,-223.59811,8
11,-47.46531,194.15393,5
12,-142.12444,25.8724,4
13,-59.834415,-91.979485,14
14,-145.2225,-143.87788,4
15,-186.60266,35.15487,4
16,-86.170906,194.20517,5
17,33.63399,63.596172,11
18,-111.10615,46.907494,4
19,-80.38907,198.94724,5
20,-50.422913,70.65799,9
21,167.10341,-62.887375,11
22,70.7726,-152.74873,3
23,-19.436747,-114.28866,4
24,-40.59943,-45.105095,4
25,137.99051,60.400867,12
26,-38.700825,72.169876,9
27,-55.647106,71.15365,11
28,84.98575,85.67064,11
29,-40.133533,82.90927,9
30,147.16798,153.6301,7
31,69.260765,8.129803,4
32,-30.784588,-249.13615,8
33,-121.39358,-19.754425,4
34,-196.79884,-63.97093,4
35,156.19829,92.9936,12
36,-39.822746,-47.42302,4
37,-76.700516,-192.04837,8
38,-42.950844,173.96953,2
39,-212.6516,-28.160692,4
40,146.15503,17.112938,11
41,-133.0124,118.71069,6
42,-210.86028,-27.280413,4
43,-48.33102,-62.43698,4
44,-124.47031,-58.994026,4
45,-12.197638,-22.471708,4
46,-110.547874,20.060163,4
47,-162.30989,55.191013,4
48,29.833914,14.964096,11
49,98.690216,-66.28144,11
50,-29.667084,-3.6484632,4
51,-231.80618,-52.06246,4
52,20.20042,230.75629,13
53,-115.21724,134.24968,2
54,-157.2269,-58.210667,4
55,-93.84478,-172.34897,8
56,-32.663967,-212.86688,8
57,-7.05645,-66.10776,4
58,-162.12349,-0.94723964,4
59,-122.659836,101.53785,6
60,178.11166,-59.83491,11
61,-146.75856,121.98022,6
62,126.31737,-63.15525,11
63,-238.21521,-54.64171,4
64,-10.807809,-4.5875816,4
65,-83.148056,131.62256,15
66,-9.229408,-40.91011,4
67,-56.76622,7.7097783,4
68,164.07843,67.90145,12
69,142.26799,27.076668,11
70,-44.061756,-45.703285,4
71,-184.44525,-57.22504,4
72,-9.571899,4.9818735,4
73,2.1726534,-58.099316,4
74,-29.314915,-201.99434,8
75,-28.874788,125.568054,15
76,104.09806,61.35422,11
77,-73.896095,-107.27768,4
78,-200.99272,-46.156605,4
79,79.08276,56.790474,11
80,-39.205822,81.48303,9
81,-4.1309767,282.37177,13
82,-122.19819,-68.022804,4
83,-100.334854,-6.7548194,4
84,-28.656384,-63.854458,4
85,-202.53055,-44.950714,4
86,-176.99991,43.072536,4
87,-184.1007,-60.57862,4
88,-211.5677,-37.173176,4
89,-125.37389,-113.884254,4
90,-91.77421,-132.06116,4
91,18.528746,-160.22168,3
92,-5.554299,-16.974386,4
93,-17.03151,-221.68599,8
94,101.50662,-29.925323,11
95,-6.4917307,-57.59929,4
96,-118.8996,-144.67712,4
97,-85.83186,-108.45805,4
98,178.45439,-12.439694,11
99,-50.265537,-54.760315,4
100,-96.613434,187.96863,5
101,-48.721855,129.38586,15
102,166.66989,-47.781265,11
103,149.56601,-51.047665,11
104,53.28297,-185.65642,3
105,-6.3331513,51.295055,9
106,-150.70044,58.573627,4
107,82.216225,102.43605,11
108,65.30174,139.7318,7
109,107.82784,-177.3207,3
110,-133.60237,-33.59636,4
111,-240.5922,-49.237766,4
112,-149.15236,58.917374,4
113,-67.85935,29.914093,4
114,-69.77091,51.92448,4
115,153.80418,-86.69264,11
116,-195.62428,-23.393154,4
117,162.23267,73.744675,12
118,14.725546,180.08821,2
119,13.488364,14.009367,9
120,-117.39591,-63.390133,4
121,81.58592,-174.40753,3
122,1.7802427,-64.19018,4
123,-58.560833,76.04229,15
124,-191.15215,-82.339035,4
125,-215.3014,-24.640955,4
126,233.55019,32.95707,11
127,-161.15057,-132.41307,4
128,110.295944,99.58789,12
129,-186.80795,-120.5467,4
130,7.457941,278.57352,13
131,-14.7411785,-212.44734,8
132,-36.175,-61.793427,4
133,-128.79681,130.56505,6
134,13.42422,164.8242,2
135,-108.89801,-85.18869,4
136,-45.63911,163.20326,2
137,-120.09175,-119.49708,4
138,31.270298,108.03215,2
139,219.6252,-38.336117,11
140,-2.2903905,-105.674484,4
141,-99.27706,-25.88572,4
142,-4.309897,-100.84637,4
143,-215.76276,-2.1854372,4
144,6.430659,-131.39322,4
145,-130.97044,-167.39108,4
146,21.804049,139.62805,2
147,-15.0812,-23.955729,4
148,-35.33691,-3.235649,4
149,-114.50187,-46.339874,4
150,26.59116,-38.569244,11
151,-134.50076,-33.77574,4
152,2.9795885,265.71515,13
153,-38.754253,-56.4624,4
154,55.098946,47.39053,11
155,-108.6477,-139.61096,4
156,-87.96793,-163.96706,8
157,39.04858,-157.34192,3
158,-80.52727,-36.004566,4
