,x,y,c
0,49.91783,207.00883,4
1,11.476556,56.008102,11
2,41.12633,235.4272,4
3,-5.82224,-237.98933,7
4,58.764233,128.97244,4
5,78.49764,184.83134,4
6,39.60272,248.81906,4
7,-14.016463,228.74852,4
8,13.379345,47.032146,11
9,-16.026947,205.18265,4
10,56.361042,65.603615,9
11,-93.06599,-25.696754,11
12,-18.419458,31.459282,11
13,77.83546,203.97302,4
14,75.73111,-146.86983,7
15,-180.67975,96.076416,3
16,-12.1211605,122.30211,4
17,99.09882,-59.668438,2
18,-48.523937,171.04474,8
19,-9.370949,189.99568,4
20,34.872326,148.97282,4
21,113.311134,-32.316925,2
22,-218.22241,0.7423509,12
23,-145.1651,68.24722,11
24,-80.23877,109.01675,8
25,44.74481,-6.0399294,2
26,-16.22767,-195.05869,7
27,78.30002,162.60533,4
28,-20.805592,41.644318,11
29,17.014753,234.35799,4
30,100.99982,-7.3994718,2
31,5.7452555,134.19122,4
32,23.524757,98.95843,4
33,61.149437,207.50397,4
34,74.93246,42.82895,11
35,185.88011,-99.6048,5
36,71.313705,-16.072361,2
37,-88.94533,108.47004,8
38,-20.980148,177.38464,14
39,54.38436,-34.91816,2
40,70.20481,120.5923,4
41,9.873931,141.00294,4
42,-117.55825,-87.65781,11
43,26.23573,196.98187,4
44,-80.79016,-62.731358,11
45,52.054623,52.912437,9
46,86.92666,93.10314,9
47,62.134262,-21.701298,2
48,139.58192,132.14467,6
49,-0.5349793,-1.4894903,11
50,92.9763,92.27272,9
51,72.276436,212.87157,4
52,-85.08668,-42.683983,11
53,-77.36321,-56.665047,11
54,97.0205,109.37823,14
55,71.3712,-127.7656,7
56,51.530388,-11.472793,2
57,-76.083115,-22.26266,11
58,130.07593,124.605194,6
59,-96.120514,151.0136,3
60,123.53389,-52.839474,2
61,226.5397,-50.61587,13
62,-63.745968,190.67845,8
63,-121.32066,149.84267,3
64,-79.51324,187.16048,8
65,-137.12628,73.68752,4
66,-250.98595,-11.776608,12
67,-199.49481,94.295044,3
68,-10.602885,118.09573,4
69,20.493645,-85.5857,7
70,-17.364737,-86.87505,7
71,139.9547,92.479256,6
72,69.96372,-88.69172,2
73,-6.983818,105.6953,4
74,30.247528,179.17726,4
75,-92.26891,-1.4338965,11
76,16.796902,221.98018,4
77,37.775646,197.76901,4
78,124.08157,-61.439117,2
79,170.23627,90.47499,6
80,40.516644,123.971794,4
81,-202.87598,31.203575,12
82,-81.34732,183.43863,8
83,94.29591,105.566956,9
84,-73.32987,155.64207,4
85,109.1872,79.32931,9
86,124.369095,133.8679,6
87,-33.80131,162.28299,14
88,88.79138,185.49498,4
89,116.34336,60.132454,15
90,6.726853,162.65886,4
91,-15.074913,207.14124,4
92,-40.35692,59.802814,11
93,-68.223206,-105.76942,11
94,80.41068,62.54245,9
95,-80.38027,93.25534,8
96,43.043907,238.65259,4
97,-144.38686,146.47144,3
98,32.738827,115.86374,4
99,-195.08714,88.574104,3
100,30.621101,168.04968,4
101,3.7242267,144.83653,4
102,5.0795364,-82.8142,7
103,-7.3743243,4.7772155,11
104,73.23156,153.18005,4
105,214.86142,-26.47126,13
106,-107.14923,80.16093,8
107,55.82014,204.57863,4
108,-245.60626,4.1710577,12
109,93.24667,100.310905,9
110,-113.089874,183.11334,3
111,-150.79054,121.4148,3
112,125.6921,42.04304,15
113,-49.709606,65.34615,11
114,-114.12423,-109.00238,11
115,-19.820501,114.49461,4
116,131.5206,131.97798,6
117,-179.87675,114.60867,3
118,194.43697,-76.144615,5
119,-160.92561,140.91365,3
120,128.41527,-69.24566,13
121,19.99874,41.845634,11
122,-244.48955,51.885963,12
123,113.5846,-33.51044,2
124,-91.77144,181.00606,8
125,-219.91183,-38.27689,12
126,-96.912674,89.39021,8
127,15.620961,232.65593,4
128,33.897163,95.34037,1
129,13.346789,154.86829,4
130,-92.43979,35.461414,11
131,-55.878593,71.69585,11
132,91.88665,190.49205,4
133,-22.297636,181.29059,4
134,-55.596653,-162.92471,7
135,1.696928,234.16328,4
136,-2.191299,124.29597,4
137,17.789906,202.65256,4
138,-56.84739,18.355433,11
139,14.656049,195.78668,4
140,-181.29338,82.01561,3
141,-52.723995,16.179445,11
142,228.96448,33.972923,13
143,7.110317,-10.573162,11
144,214.4512,-71.37557,5
145,-146.29008,131.39513,3
146,-120.72561,16.60642,12
147,126.78413,-37.48523,2
148,11.536264,219.64456,4
149,195.93048,-127.55599,5
150,-103.05467,79.639534,8
151,-61.15759,177.19092,8
152,59.205196,171.78705,4
153,-107.61705,125.01174,3
154,-82.92087,117.65056,8
155,18.488052,214.94162,4
156,58.565044,86.955986,9
157,47.894066,168.9155,4
158,164.09024,112.00904,6
159,-189.85165,115.53215,3
160,-155.92917,88.67199,12
161,27.769392,89.40766,4
162,-30.791222,-68.650185,7
163,189.2301,-77.555786,5
164,196.48396,-125.47976,5
165,20.739033,173.67055,4
166,-101.647484,-7.8871255,11
167,-60.9263,75.96417,11
168,88.82191,75.73168,9
169,-76.34915,-64.920395,11
170,52.457836,188.80333,4
171,12.8555,57.77553,11
172,-10.042076,-10.742214,11
173,-128.46619,-74.76585,11
174,-60.495785,11.294478,11
175,-81.70707,85.88918,8
176,-154.65076,136.83755,3
177,86.11285,49.94251,15
178,22.782818,196.84628,4
179,-15.049823,99.56604,4
180,28.437824,-207.42451,7
181,-119.28374,-57.834816,11
182,-23.046654,157.88588,14
183,-193.80052,-19.910734,12
184,100.50404,107.87252,3
185,7.7195444,195.24965,4
186,-58.588432,66.90003,11
187,258.6499,7.4420342,13
188,99.52744,-39.021553,2
189,170.11086,102.56237,6
190,-121.88053,156.4618,3
191,-22.996101,174.99599,8
192,-144.76088,14.515687,12
193,-51.245953,66.38717,11
194,86.18945,175.15114,4
195,-3.115358,212.18495,4
196,214.63733,-50.045944,13
197,23.600069,116.41299,4
198,-63.96288,188.04478,8
199,128.05443,-30.511349,2
200,86.89095,181.9913,4
201,-96.48305,141.91922,3
202,41.50396,0.304521,2
203,-47.296524,181.75987,8
204,-14.143331,184.8958,4
205,172.69196,96.35154,6
206,-54.4949,151.61331,4
207,171.45618,93.426605,6
208,-36.658855,-47.345455,11
209,-109.37789,184.8108,3
210,-43.11625,196.77928,8
211,-21.899109,-19.328829,11
212,-34.774574,-188.50978,7
213,20.902405,-129.45547,7
214,-23.851915,-214.3617,7
215,-182.87628,-14.410141,12
216,-27.618134,96.92125,11
217,-63.325893,185.47316,8
218,109.609634,90.65593,6
219,-154.25095,127.59691,3
220,-240.58316,51.05923,12
221,-91.951065,114.77328,8
222,-108.15634,147.47516,3
223,8.656905,229.15392,4
224,-153.09866,66.49899,12
225,-12.222793,-64.466385,11
226,-106.889145,118.37793,3
227,146.21672,-44.83828,13
228,-133.44466,-19.885365,11
229,180.54633,7.0012527,13
230,9.890151,222.91829,4
231,161.30525,80.64308,2
232,-16.869268,122.518074,4
233,4.9836197,-59.959198,11
234,60.920998,60.41884,9
235,14.8660345,-54.276146,11
236,102.83391,-21.11157,2
