,x,y,c
0,-65.81085,215.36116,15
1,151.2311,-91.95212,3
2,-113.06816,70.193794,11
3,-144.16585,-134.51292,8
4,-50.687088,-45.06805,14
5,79.12598,-46.702747,4
6,5.9664545,-87.90262,4
7,131.40387,95.68721,12
8,-105.50854,-196.2383,8
9,-59.354626,55.394802,11
10,163.05606,-52.6638,3
11,73.40196,-24.210941,1
12,-87.015594,20.813728,11
13,-19.501196,110.63535,11
14,-156.32564,-119.86787,8
15,-54.86252,-26.47171,14
16,-24.291252,-256.5455,13
17,166.47342,-96.365776,3
18,149.6883,-90.18588,3
19,148.46815,-103.63828,3
20,51.03346,143.43526,2
21,-44.765903,-10.890957,1
22,113.82891,18.177408,6
23,206.10161,-37.493404,3
24,91.1035,-194.01137,5
25,129.69324,-82.24643,3
26,-7.8834205,244.84,15
27,-60.014214,-25.595049,14
28,105.18195,27.152447,6
29,85.19064,30.361086,2
30,77.0461,-147.18596,5
31,90.028336,-64.713326,4
32,84.23431,-24.04398,3
33,13.077468,27.714367,9
34,-53.846066,-57.882378,14
35,192.98976,30.985455,3
36,-72.517944,-26.05855,14
37,43.747826,40.96644,9
38,-32.944416,-128.94843,8
39,201.48178,-66.22013,3
40,26.396553,-25.214832,4
41,25.118486,-24.725584,4
42,154.66185,-96.39749,3
43,96.56152,-62.262184,4
44,-105.270386,-185.27217,8
45,-73.29357,111.69107,11
46,12.688165,-70.34947,4
47,151.60178,-43.445175,3
48,-87.156364,-166.14847,8
49,166.57011,-98.85826,3
50,10.374339,-32.92941,4
51,25.619114,-89.394325,4
52,-18.923473,58.183685,2
53,213.88133,-49.500843,3
54,-86.41707,-190.85413,8
55,60.091877,-98.47627,4
56,-129.29224,-24.673655,7
57,-56.283154,-27.797413,14
58,73.255295,-32.919502,4
59,29.95896,121.25576,2
60,147.53044,-49.375877,3
61,49.39417,-113.66553,4
62,-31.9517,-128.36307,8
63,-146.46771,-172.12785,8
64,22.33388,-70.28667,4
65,112.81561,-151.40758,5
66,14.077505,-67.15105,4
67,95.4464,-29.265684,9
68,-79.98353,-179.36954,8
69,76.799065,18.759968,6
70,-155.66508,-118.57625,8
71,-83.00016,-192.66396,8
72,-127.70331,-104.367,8
73,-107.47505,-30.920502,7
74,-129.18422,-119.7471,8
75,109.60173,-99.89785,14
76,169.67606,-66.356445,3
77,-25.62957,13.273576,1
78,-72.10527,202.24062,11
79,-67.21876,83.61049,11
80,29.5524,-93.94239,4
81,228.55206,16.048645,3
82,2.4358225,-229.87784,13
83,-138.43188,-171.96423,8
84,-111.430405,63.49617,11
85,215.3642,26.515697,3
86,-153.06143,-164.75021,8
87,-47.14817,-28.77445,14
88,-30.911531,64.2775,9
89,1.9396138,142.18866,2
90,-53.108624,200.30412,15
91,147.49974,20.619759,6
92,-33.65245,-59.49854,4
93,-80.18395,112.92569,11
94,-75.70163,-153.22809,8
95,209.16498,24.517597,3
96,223.55072,5.512446,3
97,168.39401,-99.769104,3
98,-195.64754,44.957684,7
99,-78.75616,-48.29536,14
100,168.89531,-23.03345,3
101,18.77667,200.2505,15
102,151.34946,-60.195663,3
103,34.315216,-27.210905,4
104,48.796318,-121.55736,4
105,-30.966263,-63.074165,4
106,-72.92284,-32.699036,14
107,-121.03974,125.53425,11
108,123.14923,13.356588,6
109,100.330086,-180.34206,5
110,19.744064,209.60167,15
111,-58.0507,-129.31879,8
112,160.31331,6.6075134,6
113,169.95215,-54.933987,3
114,52.319237,216.19905,6
115,-208.64793,-38.13737,7
