,x,y,c
0,30.096712,-163.43326,8
1,155.4158,-125.4144,12
2,-52.535553,151.41196,13
3,106.613464,-70.10945,12
4,38.827553,200.0399,13
5,-74.90463,40.81445,11
6,-73.877205,-97.17242,9
7,95.39107,-178.4056,3
8,218.20149,-97.03961,12
9,-122.503654,32.170555,11
10,106.10766,-91.82141,3
11,103.68602,150.44232,13
12,-163.84341,-171.9453,1
13,-31.605177,207.02853,13
14,-55.50584,91.95979,4
15,79.23901,94.1793,7
16,-22.467443,68.81218,7
17,-148.06052,5.771056,11
18,-57.534508,-92.858505,6
19,-0.363982,-165.08488,14
20,-111.99238,-43.669315,1
21,-127.026764,132.64119,11
22,97.91764,65.5463,7
23,-103.790794,-71.94449,9
24,-62.677044,82.44787,4
25,-15.880849,-174.09848,14
26,4.18852,96.732445,7
27,-152.58498,-132.36395,1
28,-96.70558,-137.27333,10
29,-87.03768,-144.46161,10
30,65.52459,49.508755,7
31,-125.8169,-8.132439,11
32,29.064518,54.96348,7
33,-110.38706,13.992731,4
34,-63.072987,103.67739,4
35,-222.05711,-18.487123,11
36,176.88362,-123.06711,12
37,89.13541,-179.87256,8
38,-113.58069,58.128437,11
39,200.84459,-110.4539,12
40,-210.79901,92.73483,11
41,-201.57564,73.42082,11
42,-112.37875,120.46237,11
43,-48.074947,89.442215,4
44,-151.79323,131.99232,11
45,-207.29703,-18.126318,11
46,40.2959,-90.89331,2
47,8.719558,-187.87802,8
48,-84.58172,-176.19522,10
49,-144.27992,-182.06085,1
50,-124.98212,33.44423,11
51,-10.177771,-74.763054,2
52,-180.982,-63.66375,11
53,175.17824,-103.35348,12
54,-150.60483,-185.90398,1
55,233.2784,-29.742178,3
56,-137.22237,-23.87845,9
57,-174.66656,62.136993,11
58,-79.68229,57.60393,11
59,86.62699,61.321228,7
60,80.480515,-150.69223,4
61,61.152,-218.02127,8
62,168.8178,-67.858574,12
63,-149.07661,-23.51096,11
64,-114.16155,-159.85835,10
65,82.546196,-181.88838,8
66,5.702914,1.7855675,7
67,123.99919,-124.79695,3
68,-174.9317,7.4370255,11
69,-79.19223,83.05039,4
70,-148.085,-124.12752,1
71,38.129154,-100.253746,2
72,-92.976204,-17.898119,4
73,-73.64588,19.836412,4
74,-149.6708,116.07817,11
75,-42.91531,-51.208492,9
76,-80.57011,-94.195076,9
77,93.7918,-165.51823,3
78,-82.448555,-94.21914,9
79,-157.6386,95.50072,11
80,7.5696254,-56.096752,4
81,97.08344,-120.73364,3
82,22.49042,-202.75786,8
83,-189.87029,55.155476,11
84,-249.95969,-4.690274,11
85,13.749376,-45.83177,12
86,-175.43164,-89.74811,11
87,-123.544266,47.054157,11
88,35.510437,-167.00455,8
89,-223.49947,-16.9054,11
90,-240.59929,44.34043,11
91,180.76025,-82.88929,12
92,-168.40909,-127.196846,1
93,-28.087557,-151.54549,15
94,-136.61311,-15.421382,11
95,-178.06554,-63.491093,11
96,27.127554,-181.63882,8
97,66.77812,34.916233,7
98,-140.65869,54.967266,11
99,-6.4629674,-93.75595,2
100,237.04308,-22.017433,3
101,17.376532,-96.68984,2
102,213.86485,-24.869026,12
103,-85.78366,-95.76877,9
104,28.200245,-192.73744,8
105,-173.39207,-62.34999,11
106,45.886284,-63.626152,2
107,-51.080994,-125.62533,10
108,-210.9239,26.58,11
109,-144.61761,-73.341354,11
110,-234.73438,44.87641,11
111,-194.84128,79.23507,11
112,-81.5147,-87.36364,9
113,-166.68373,-43.906662,11
114,117.762856,-171.56479,3
115,-90.87918,-75.10327,9
116,67.968544,122.504875,7
117,41.84218,51.069576,7
118,-68.97195,-130.9969,10
119,22.036547,-200.26239,8
120,60.122883,-197.5906,8
121,214.1702,65.81197,5
122,-83.46594,-96.00245,9
123,-29.31788,-222.36026,15
124,24.969893,-191.96152,8
125,57.235874,-216.71053,8
126,142.76239,-157.84593,3
127,-172.36159,-160.22444,14
128,-84.52572,-79.32336,9
129,-161.47906,-171.5045,1
130,-60.885864,68.07108,4
131,89.90388,1.2062659,7
132,-165.32361,40.155987,11
133,-60.20737,-11.5053,4
134,-245.6035,10.983983,11
135,-168.91833,119.046326,11
136,-131.73781,5.8868814,11
137,-138.05057,-23.657988,9
138,166.17946,-56.583378,12
139,24.086563,-99.61252,2
140,-87.40276,19.693405,4
141,-197.00665,75.307976,11
142,-107.396065,16.556644,4
143,27.430737,-177.2401,8
144,1.3896008,-84.90633,2
145,78.04751,-56.953735,7
146,-176.54372,-5.6846743,11
147,85.77922,-144.743,4
148,-8.3574915,70.472206,7
149,-175.54993,-9.218409,11
150,-3.0792217,182.03133,13
151,102.980804,61.509323,7
152,-128.09633,117.976006,11
153,176.56955,-92.64344,12
154,-179.5319,-22.384453,11
155,-28.300648,-53.99686,11
156,53.38491,245.75034,13
157,-22.199224,12.186334,7
158,-153.96149,127.11864,11
159,-100.70495,90.71139,4
160,-58.95007,-5.7621555,4
161,71.35652,-208.4075,8
162,-16.33921,-27.808819,7
163,-249.22603,8.132334,11
164,-25.612198,19.343002,7
165,43.66098,-91.59123,2
166,-156.11403,134.99985,11
167,-30.216867,-152.11086,15
168,-129.04861,127.90276,11
169,-113.61273,-18.714094,4
170,36.56957,-181.82535,8
171,-12.42165,-185.23795,14
172,-13.896068,-136.39604,2
