,x,y,c
0,119.569435,51.0773,4
1,54.433678,-39.889797,4
2,142.42845,-80.04738,8
3,-113.25835,-130.73668,11
4,172.22577,-129.3995,8
5,-24.120653,-75.531296,11
6,129.35542,-66.30405,4
7,-97.18873,-67.75248,11
8,171.91676,-25.579786,4
9,-12.983921,-85.40027,11
10,190.02707,67.55279,4
11,37.282566,-161.41962,3
12,144.12169,106.86948,4
13,80.543106,-179.50473,3
14,90.00277,-132.1379,3
15,190.89842,-96.62551,8
16,-16.772785,17.877281,9
17,123.61869,-32.01924,4
18,-106.07835,-68.14057,11
19,209.60432,45.663918,4
20,138.4278,-91.46308,8
21,48.712265,-178.55568,3
22,192.48434,3.3033583,4
23,141.833,-67.711174,8
24,107.37098,-93.04702,3
25,93.01549,-181.57765,3
26,2.943164,-0.32039124,9
27,-42.970303,125.2324,5
28,137.06561,0.9372796,4
29,148.72615,13.522163,4
30,143.37805,58.296112,4
31,127.80369,38.94319,4
32,139.26978,-132.56245,8
33,-67.62245,95.55578,2
34,44.663982,90.43522,12
35,200.7751,-30.717184,4
36,-22.950722,22.825165,9
37,162.48898,4.178952,4
38,39.911633,-62.422787,4
39,167.46246,94.82065,4
40,-58.238976,130.9501,5
41,184.00674,-136.57158,8
42,208.52367,10.175044,4
43,173.01427,62.493153,4
44,37.276657,32.688797,4
45,104.29821,-8.194262,4
46,181.16928,-10.572394,4
47,110.94448,-94.81802,3
48,206.82712,30.939066,4
49,34.31064,148.3294,12
50,227.75932,-24.732124,8
51,-54.820328,69.640366,2
52,38.921204,-149.11124,3
53,-47.416874,27.91723,15
54,208.13785,-125.200935,8
55,-108.22416,33.821846,2
56,33.907013,-7.4929814,4
57,-126.587875,48.24924,7
58,139.00333,9.585717,4
59,160.56145,-36.81541,4
60,141.62518,-128.45552,8
61,96.06464,75.27742,4
62,-49.074184,175.63707,13
63,-4.81682,49.0452,12
64,25.583305,-87.57231,11
65,-2.3334322,6.1519566,4
66,161.03394,91.02789,4
67,-35.50798,-102.18236,11
68,214.48686,38.522503,4
