,x,y,c
0,130.94183,-152.46098,5
1,40.145275,-132.49757,12
2,37.400593,135.00638,13
3,-32.90605,-207.84499,11
4,178.11565,-7.682318,3
5,59.395473,36.70985,1
6,67.846214,20.607939,1
7,105.09742,-102.47632,5
8,145.86589,-5.996078,3
9,34.886074,68.97348,1
10,94.86754,-114.61911,5
11,158.766,103.6587,13
12,-3.9249642,29.037066,1
13,57.343113,-93.36588,5
14,-6.679886,-1.0190629,9
15,-222.77226,-10.288296,10
16,21.851969,-135.24854,12
17,50.818172,-2.5300527,1
18,-85.18881,-151.88322,15
19,-121.95065,-145.67424,15
20,-19.917643,16.080242,9
21,-21.096506,-19.525076,6
22,133.02837,14.653457,1
23,-116.27663,73.94679,7
24,-146.1626,-63.064095,10
25,-98.304276,-108.87456,10
26,-129.0265,-145.36745,15
27,-105.42973,92.66315,7
28,45.41767,74.099365,1
29,34.638256,77.422516,1
30,-93.17327,176.3828,7
31,142.75415,-44.38189,5
32,115.95551,142.14828,13
33,-24.94049,-227.74474,11
34,88.431496,-107.38452,5
35,163.96234,-91.94322,5
36,-94.90898,196.51848,7
37,48.40836,170.44647,13
38,51.304516,28.04791,1
39,-22.738995,131.57468,7
40,124.70105,53.568447,14
41,-59.377686,-35.10991,1
42,-116.72133,-194.83356,15
43,26.276814,-146.50603,10
44,4.688529,10.942825,1
45,-30.0482,-190.81847,11
46,-141.96405,-74.21177,10
47,-26.464333,-79.7589,10
48,161.60689,-15.860508,3
49,-70.196236,1.0161619,2
50,-132.52281,-21.1694,10
51,-132.3529,85.75437,6
52,50.454624,72.65055,1
53,-148.13445,59.838,6
54,-83.81572,-10.259411,2
55,-154.0837,-84.73074,10
56,-177.776,-54.253952,10
57,34.051067,64.644295,1
58,37.067223,125.043365,13
59,111.39871,-106.23994,5
60,165.64088,-121.40489,5
61,83.805565,-125.466286,5
62,63.325443,-220.93433,12
63,-117.460495,-103.33965,10
64,87.68083,27.923016,1
65,-218.30711,4.139303,10
66,-202.7291,22.074121,10
67,-145.58537,-174.96733,15
68,105.12823,42.918743,14
69,-53.844936,-61.905273,1
70,187.74464,-75.00272,5
71,172.45161,-99.30062,5
72,-109.86159,-187.46071,15
73,-169.10146,90.567955,6
74,129.35634,-118.40197,5
75,-16.20875,51.282112,2
76,-71.72829,10.237896,2
77,-59.332188,124.78847,7
78,-54.96685,28.602434,2
79,-22.602455,-229.40045,11
80,-32.689617,-234.28496,11
81,-108.50769,9.295547,2
82,-168.42612,82.0247,6
83,-192.33812,136.74924,6
84,29.771826,74.82067,1
85,67.227516,20.406826,1
86,55.735344,-55.98085,5
87,114.02837,-94.82147,5
88,-74.8547,180.5288,7
89,59.082874,188.88162,13
90,-184.16884,99.207695,6
91,-63.13779,-2.1501164,2
92,-99.21464,167.50316,7
93,-106.15155,-78.05906,10
94,60.041615,-204.12695,12
95,4.051066,41.678852,1
96,91.26051,-140.60599,5
97,-17.40368,-91.34397,15
98,8.165133,-223.74786,11
99,-74.77147,-77.55645,10
100,-24.818205,-144.22586,11
101,-38.48201,18.817043,6
102,-57.08294,-30.979786,1
103,113.07466,-134.40584,5
104,119.3976,185.79063,13
105,-36.308662,-157.78935,11
106,21.07164,166.08849,13
107,21.83137,-109.78513,5
108,150.74907,-120.22061,5
109,23.091276,49.507954,1
110,59.74534,-25.983486,1
111,57.595673,-55.109337,5
112,-183.9628,12.316316,10
113,-89.05316,177.61398,7
114,-102.509285,-3.7897136,10
115,-33.546,-104.13479,11
116,-13.838761,114.786446,7
117,-85.642715,173.91284,7
118,119.31762,167.07787,13
119,58.13669,208.19475,13
120,64.88909,17.977545,1
121,-31.844213,-181.82623,11
122,-1.6211536,37.430214,1
123,54.25303,37.938107,1
124,172.83124,1.2024765,3
125,-239.49716,-44.59046,10
126,-115.4778,164.8352,7
127,10.147446,106.839226,13
128,-62.525127,0.14691775,2
129,-158.49051,-144.19682,10
130,-17.484728,131.21443,7
131,111.41769,-98.84718,5
132,12.287776,-99.09438,5
133,-129.50725,117.689964,7
134,157.96317,38.05211,14
135,-70.225555,-127.83052,10
136,136.66002,-108.75946,5
137,1.7899348,-85.580696,15
138,131.37498,118.24846,13
139,-53.752525,-92.038124,15
140,-20.955158,-118.41752,11
141,160.29066,-12.136618,3
142,-35.13139,53.306225,2
143,3.4821794,-205.83263,11
144,5.3522344,21.346037,1
145,214.52081,19.221197,5
146,-54.28008,1.7462441,2
147,-22.232744,88.69742,7
148,51.17983,6.0598755,1
149,-32.385723,139.86856,7
150,34.603916,-171.42767,12
151,-3.2085783,-207.06862,11
152,-108.77072,53.350307,7
153,-155.54623,-103.78962,10
154,53.03074,52.23054,1
155,-31.240526,56.448483,2
156,-18.529243,113.27014,7
157,223.33887,49.18113,5
158,-107.190094,-54.292282,10
159,-105.89621,-154.32785,15
160,3.7200959,-190.92258,11
161,-87.598114,161.27785,7
162,-116.22966,34.550194,10
163,17.29567,29.150845,1
164,-7.6676416,-163.67072,11
165,-104.413414,-31.958258,10
166,-38.136703,101.36558,7
167,201.18579,37.469646,5
168,45.118607,-87.59985,5
169,-171.45605,78.54309,6
170,-143.90395,-61.61757,10
171,111.70212,-20.85133,4
172,41.6477,37.782173,1
173,-12.063769,-151.86159,11
174,189.52203,-82.625656,5
175,-61.16571,-126.37208,11
176,-31.390646,-233.07402,11
177,14.326839,-210.49605,11
178,106.47938,33.136005,14
179,-145.99661,94.99474,6
180,65.18451,1.0525311,1
181,132.17522,-113.68198,5
182,226.7518,-31.088812,5
183,155.63914,-94.611046,5
184,85.96298,65.35248,1
185,2.8467865,-224.75189,11
186,-140.50732,92.896935,6
187,12.745395,219.4117,13
188,-82.51517,80.573906,7
189,-87.333885,-100.96756,10
190,19.732355,-42.26293,5
191,55.36294,-80.624504,5
192,-19.945982,-113.87207,11
193,35.93896,148.06903,13
194,58.389458,81.03003,1
195,91.58481,141.62404,13
196,130.763,-13.306694,4
197,35.849968,-86.5837,5
198,-188.60535,-35.740246,10
199,-7.70838,-226.54494,11
200,75.73419,-2.8954155,1
201,132.33334,-132.96004,5
202,-28.01374,-184.46484,11
203,-70.28611,-174.67252,11
204,-124.62783,125.461586,7
205,-180.75691,104.30681,6
206,242.65244,-21.966583,5
207,-57.02925,-170.10355,11
208,161.04933,91.564644,13
209,-120.60481,-41.12934,10
210,-109.86536,124.14803,7
211,-99.98199,-118.122375,10
212,87.31382,4.349208,1
213,51.730656,59.532833,1
214,-45.93862,158.75867,7
215,110.670975,67.00074,14
216,236.75012,-21.99167,5
217,119.52659,-157.36975,5
218,-15.49387,-1.7730505,9
219,112.76757,174.73209,13
220,-24.523436,29.726574,6
221,-107.77026,186.0676,7
222,-14.512694,-27.22803,6
223,19.625286,200.17627,13
224,-15.112143,65.78152,2
225,-7.2501183,165.53214,13
226,103.70172,-114.66667,5
227,-187.40532,11.903552,10
228,-12.949164,-127.9761,11
229,-121.06746,166.18654,7
230,145.00867,-84.09814,5
231,-214.88332,-52.01309,10
232,171.70428,20.828487,8
233,-201.25693,43.222755,10
234,152.45628,106.06843,13
235,-179.61363,35.71921,10
236,57.325043,-9.2415495,1
237,50.642635,125.538994,13
238,202.87515,44.81114,13
239,-50.37413,97.242325,7
240,-66.179306,58.43893,7
241,-37.418068,-95.566124,11
242,72.852104,82.76461,1
243,-55.744713,-227.02171,11
244,53.72459,-173.99774,12
245,122.01745,-66.36752,5
246,31.119675,0.9250075,1
247,-190.6551,-13.997351,10
248,111.01421,65.03219,14
249,-192.4913,25.609953,10
250,-46.59694,-233.73845,11
251,31.063282,198.30553,13
252,-45.71359,16.863014,6
253,-57.997414,160.18303,7
254,26.423847,25.897423,1
255,-207.51253,-70.77679,10
256,179.85187,116.21831,13
257,-108.90147,169.57135,7
258,93.85061,53.16067,1
259,-49.42291,-205.56934,11
260,48.24142,162.32414,13
261,140.98878,-70.127686,5
262,50.597286,142.3515,13
263,206.01892,31.63472,5
264,53.90957,199.67593,13
265,45.73826,183.48558,13
266,176.797,-2.2764149,3
267,-14.75523,-76.29104,15
268,128.79558,34.748608,14
269,-131.99744,-86.25542,10
270,109.11197,-185.57623,3
271,-155.83563,-31.78793,10
272,236.7039,-17.89899,5
273,109.73193,148.41647,13
274,-87.591194,162.26323,7
275,-156.81847,-111.49567,10
276,-23.597342,-194.53963,11
277,48.14473,-210.38716,12
278,-23.382109,-167.85944,11
279,32.94752,-64.39016,5
280,4.329914,69.88835,13
281,6.9525504,118.969666,13
282,53.38788,-179.9404,12
283,47.00493,23.413858,9
284,4.610653,-190.87607,11
285,-2.5658467,-191.28079,11
286,-117.87654,179.62944,7
287,-85.11254,199.14168,7
288,-212.38293,-32.554768,10
289,219.99535,-47.448338,5
290,93.25566,-87.13539,5
291,121.791954,-29.982828,4
292,-118.0329,-78.77055,10
293,-7.845836,-31.966198,6
294,68.697426,188.1,13
295,46.31863,-43.38242,5
296,125.0389,-34.06532,4
297,-238.03847,-1.9983466,10
298,-118.36937,142.81676,7
299,-135.06325,92.862206,6
300,-130.85393,95.58327,6
301,-151.59619,-103.59135,10
302,-30.584974,108.504105,7
303,1.0345749,-92.355,15
304,244.45549,-4.783398,5
305,-241.6021,-34.329567,10
306,114.98332,-63.84908,5
307,-52.19019,-50.6785,1
308,-185.19458,110.534004,6
309,-237.66818,-39.083805,10
310,-125.41599,-23.967056,10
311,-99.2372,57.13958,7
312,-160.58722,8.229048,10
313,-140.91302,-126.260155,10
314,11.967714,128.6306,13
315,3.8307917,-67.03008,10
316,-111.407906,179.91853,7
317,-2.5782678,-197.15689,11
318,-92.33008,-81.854095,10
319,-91.65476,203.1416,7
320,-103.80261,-211.09094,15
321,43.625454,-80.48799,5
322,156.20248,-103.90254,5
323,-72.77813,-81.17299,10
324,-161.61302,-104.51005,10
325,-18.995811,-183.54843,11
326,-156.71909,-14.214419,10
327,-56.928856,-110.41938,11
328,-183.17943,20.585138,10
329,38.06424,11.79054,1
330,-144.37589,-174.15573,15
331,80.447754,-0.7263219,1
332,37.970745,-212.9175,12
333,13.819426,-6.688805,1
334,-151.29666,43.50188,10
335,-87.507225,-78.637794,10
336,58.707714,-36.544086,5
337,-34.30288,-115.11201,11
338,-241.03503,27.736843,10
339,-240.09102,-29.326681,10
340,-113.07595,18.583933,10
341,21.62869,-23.34999,1
342,76.7115,-115.48279,5
343,112.914276,129.59161,13
344,-15.781947,33.062927,14
345,14.685224,114.34139,13
346,4.8108635,25.011364,1
347,-129.50201,152.26721,7
348,73.54008,-88.532166,5
349,237.4228,5.975759,5
350,130.4906,-27.770052,4
351,-87.759285,123.55387,7
352,16.777195,22.322603,1
353,-48.830677,-207.79024,11
354,143.20361,47.828087,14
355,-124.99769,-76.662025,10
356,228.38661,-19.947777,5
357,198.48732,93.47022,13
358,59.702705,-36.05106,5
359,24.23602,-56.637383,5
360,-75.230865,-47.261997,10
361,95.76078,-54.29006,5
362,68.42633,52.946262,1
363,-44.70207,-24.014639,2
364,-211.57494,-14.005128,10
365,-190.07593,36.037086,10
366,50.425446,19.379505,1
367,52.33081,15.030964,9
368,-113.27544,-31.609507,10
369,-37.10384,45.05356,2
370,-212.48099,-68.79595,10
371,115.49401,51.064404,14
372,138.81514,-2.1262817,3
373,-11.901761,-5.800325,9
374,-51.369953,-166.82066,11
375,65.51731,-180.28644,12
376,87.986244,40.51645,14
377,31.871386,-157.78148,11
378,-246.73853,-24.956997,10
379,72.70914,52.18619,1
380,-172.3542,23.179533,10
381,12.984246,189.3632,13
382,20.230692,-46.350563,5
383,54.524536,-225.34389,12
384,-94.060455,161.50151,7
385,-148.51372,43.520756,10
386,18.214636,-138.38445,10
387,-249.2136,-31.025919,10
388,148.14224,115.2488,13
389,101.08267,-8.205348,1
390,-128.62657,2.5353267,10
391,-113.7522,176.84976,7
392,72.38859,-113.01321,5
393,-12.975659,26.87615,14
394,-178.65933,39.1041,10
395,85.16977,-124.600876,5
396,14.97182,149.64357,13
397,11.94145,-183.73349,11
398,-125.17877,123.206856,7
399,7.186711,-204.80821,11
400,229.92548,51.579334,5
401,27.177305,-157.87251,12
402,-96.46981,-137.10274,2
403,58.179733,-28.481997,1
404,130.11809,-73.35467,5
405,-91.62269,-39.684326,10
406,-78.95105,16.222193,2
407,119.18085,-93.52603,5
408,-87.72532,-178.48787,15
409,-58.04073,192.22183,7
410,-40.898617,165.78836,7
411,-127.85791,152.56947,7
412,76.51808,-64.98713,5
413,-180.25949,119.23564,6
414,-6.143911,-90.80213,15
415,75.095764,51.388725,1
416,-33.75595,-45.070724,6
417,-58.221603,110.857185,7
418,37.41147,-10.396739,1
419,-66.64078,45.242424,2
420,-186.37318,139.56729,6
421,61.589497,-9.06662,1
422,-109.80725,-158.11273,15
423,216.98923,18.120543,5
424,-155.0922,-96.13858,10
425,240.54007,38.401176,5
426,129.25917,67.5866,14
427,8.772357,130.11348,13
428,78.93111,205.38026,13
429,-11.473501,-233.37137,11
430,21.894709,20.740978,1
431,-66.646515,156.02007,7
432,-164.25175,67.973114,6
433,-79.87232,-114.93359,10
434,-23.618958,-67.97643,1
435,-84.38898,-99.793335,10
436,-14.035857,102.06925,13
437,-13.985885,-163.8489,11
438,-233.37126,9.708144,10
439,107.93825,168.24025,13
440,-202.54907,15.797659,10
441,57.487858,37.422977,1
442,137.19792,-77.835464,5
443,-145.12494,-40.75081,10
444,118.97241,165.46509,13
445,-117.43834,35.513214,10
446,-146.0236,-69.944046,10
447,71.15394,-197.82565,12
448,-164.61975,-107.68022,10
449,-42.363354,-95.462975,11
450,-162.06357,-35.34343,10
451,-66.65649,58.63508,7
452,-14.995094,24.525894,14
453,18.507792,174.31235,13
454,-234.65979,29.336258,10
455,143.28024,-134.28871,5
456,33.47033,-96.364716,5
457,-248.63136,-28.613216,10
458,-50.562885,-122.831154,10
459,-31.75193,145.57767,7
460,164.55327,-148.5534,5
461,102.6549,-192.54108,3
462,77.38272,83.87787,1
463,-113.71122,-62.240334,10
464,2.2529955,145.43607,13
465,72.67813,127.57235,13
466,78.77878,-113.47691,5
467,147.20555,-124.42355,5
468,7.4057508,211.27519,13
469,86.05849,-203.27017,12
470,-35.580837,-152.30429,11
471,92.193214,187.80388,13
472,57.7,-20.267376,1
473,-75.48055,107.25973,7
474,85.18703,-200.29648,12
475,19.341726,-21.080046,1
476,-62.85412,115.0472,7
477,-41.32504,-17.837955,2
478,119.785736,61.879147,14
479,54.82608,26.334248,1
480,-134.15277,9.434541,10
481,29.418516,-90.177826,5
482,-109.21866,10.070326,2
483,23.093296,-136.71794,10
484,162.54657,93.215775,13
485,111.45731,-101.44098,5
486,18.790333,-139.89905,10
487,94.53354,77.238304,14
488,109.54713,-188.16525,3
489,70.41822,-11.712444,1
490,86.560646,25.372118,1
491,63.71386,42.160645,1
492,68.348976,16.091194,1
493,93.94432,-67.84096,5
494,30.88677,-131.50313,6
495,118.50853,-36.848717,4
496,0.12193331,-93.33363,15
497,8.197133,-169.88507,4
