,x,y,c
0,72.51708,-42.54653,5
1,-36.184685,85.81288,10
2,-167.65471,21.418243,1
3,-167.75433,128.20227,14
4,-151.01566,25.357395,1
5,-94.05439,103.95806,1
6,35.04454,-136.52614,5
7,161.07967,24.234968,6
8,-62.91865,27.470228,10
9,109.13538,-93.86265,5
10,6.763151,-187.95323,5
11,154.401,-112.55215,5
12,94.25579,-143.05646,5
13,-76.53731,11.131532,10
14,143.85924,171.52055,12
15,12.931228,-145.5647,5
16,-126.72529,19.73262,10
17,136.22821,173.88835,12
18,-65.19449,-178.19551,5
19,203.97151,-4.3717337,6
20,-160.15108,-109.761024,7
21,-148.0645,-89.90734,7
22,-68.25,-92.88029,2
23,95.63379,113.351135,15
24,141.90837,160.60976,12
25,-12.675291,204.34201,13
26,-58.374325,-231.46008,5
27,-184.17314,55.046307,1
28,-151.91371,-34.66498,4
29,5.8614945,-147.66388,5
30,190.84578,65.47374,6
31,-90.39048,200.13461,8
32,-134.12604,127.93642,14
33,-72.42371,-106.22287,7
34,-176.47783,90.38485,14
35,-111.13644,-73.51151,7
36,2.3565056,217.89003,13
37,-161.94069,-7.1791143,1
38,-12.579246,-55.40735,2
39,58.23662,-140.27446,5
40,-148.13432,148.27167,14
41,25.074938,106.71072,10
42,-33.365574,-63.644993,2
43,71.97138,-76.031586,5
44,6.935127,-14.81257,10
45,12.939437,-121.92644,5
46,67.94317,127.53196,15
47,6.6357503,161.1292,13
48,-153.97556,116.60586,14
49,-116.90913,-33.512604,11
50,16.042921,-20.449379,2
51,-37.595448,-139.32542,5
52,-116.8441,30.738573,1
53,-144.99165,87.16545,14
54,-85.98068,-216.90782,5
55,214.04713,36.62006,6
56,-44.86222,-61.70686,2
57,-57.543816,-172.41885,5
58,-40.438618,-188.85703,5
59,10.284892,-175.3936,5
60,182.47327,83.10623,6
61,66.25008,-142.7931,5
62,106.575516,48.539387,15
63,111.65526,69.60877,15
64,59.848843,-131.89067,5
65,161.68042,45.082207,6
66,106.947914,-62.337605,5
67,-26.16278,-200.04898,5
68,-7.720936,-231.22063,5
69,1.2426898,-65.84629,2
70,-31.841034,-161.03804,5
71,4.358897,-140.82161,5
72,194.98225,-118.11135,5
73,83.09045,-55.635963,5
74,222.82066,48.30204,6
75,119.238106,-17.697634,2
76,0.5346143,-123.94099,5
77,-87.88216,57.586166,10
78,192.91202,-96.83293,13
79,-101.20066,0.30858055,1
80,-95.414345,36.53828,10
81,-42.19064,122.52369,10
82,25.14687,147.04416,13
83,-37.316296,-134.31056,5
84,-43.844772,107.27919,10
85,-161.15198,144.09209,14
86,211.27852,25.499449,6
87,-150.90662,139.19089,14
88,-59.0155,-41.524685,10
89,-27.123371,-241.81557,5
90,106.7761,-46.772846,5
91,-94.94685,39.465946,10
92,100.73175,19.152794,15
93,183.05316,-113.068535,5
94,67.80372,18.363197,15
95,80.78698,-46.804806,5
96,77.0723,-118.119606,5
97,-63.87898,-87.04069,2
98,-118.28585,158.82378,14
99,72.19601,59.112003,12
100,152.56528,172.35464,12
101,-184.12901,15.032449,1
102,74.87747,-15.244381,13
103,-134.69353,92.48144,14
104,217.83115,45.341537,6
105,-126.05939,24.093706,9
106,145.54327,45.688583,6
107,-43.000465,-32.67018,10
108,-157.00992,156.2722,14
109,4.4920354,201.95383,13
110,-84.14536,-190.49706,5
111,-1.3621346,-250.60808,5
112,-77.08876,38.29356,9
113,151.8423,-163.33104,5
114,-63.640068,-229.69466,5
115,-86.466354,187.02998,8
116,-132.84628,83.47823,14
117,-193.90707,68.74103,1
118,-85.64599,84.34353,9
119,-18.024387,110.23109,10
120,37.411488,-121.74995,5
121,2.637316,112.1359,10
122,143.12169,55.260235,6
123,-39.308987,-191.7641,5
124,-214.18085,-32.677948,1
125,-248.93826,40.12033,1
126,-107.8409,192.36563,8
127,-102.95779,189.73143,8
128,28.76714,-24.868166,6
129,-19.847818,65.28023,10
130,137.09288,146.69344,12
131,-208.76999,94.920296,1
132,141.40125,44.787125,6
133,-140.0808,-22.545717,9
134,-44.53445,-161.11345,5
135,-48.49769,180.62373,3
136,149.12811,-91.5064,13
137,0.22309472,68.28059,10
138,131.8073,16.952793,6
139,-195.37671,87.27375,1
140,-234.61574,38.4757,1
141,82.93926,-205.30916,5
142,44.647987,-26.570644,13
143,-11.666452,78.46498,10
144,-199.65448,-30.18802,1
145,-221.54921,48.493126,1
146,40.795044,-205.04031,5
