,x,y,c
0,-204.98026,-41.39445,14
1,-46.723183,152.56154,15
2,-249.99211,-41.899677,8
3,161.32277,144.9269,5
4,-188.17073,-17.040113,14
5,-50.86055,-110.64264,7
6,70.24716,43.49965,13
7,81.19724,34.401646,13
8,16.963879,-47.781937,7
9,-94.765884,-35.278522,10
10,98.839134,-23.48086,13
11,130.63766,2.6023617,13
12,105.8494,68.00205,13
13,-21.441242,-160.65193,7
14,-1.4549484,-53.86035,7
15,107.52843,-1.1859468,13
16,-199.0323,-11.630096,14
17,208.89265,-48.321262,13
18,53.5268,-87.43833,13
19,-151.77055,88.115616,12
20,-4.092967,59.34455,2
21,80.40348,153.19443,5
22,-13.432218,-129.06956,7
23,-231.94449,-39.428856,14
24,26.595587,-48.641228,7
25,-81.99005,-131.0246,7
26,-49.3276,-1.0277727,2
27,-60.50307,-182.74136,7
28,-95.58346,28.999779,10
29,-41.818375,-192.31366,7
30,-16.999619,39.497932,2
31,-237.38206,-47.028637,14
32,-94.20591,69.98068,10
33,98.769196,-45.34995,13
34,47.381977,-34.7557,7
35,-106.986725,155.18333,6
36,-35.432453,5.090117,2
37,-15.0135145,156.91356,15
38,72.277664,77.612625,2
39,-53.40995,49.686558,10
40,-60.019657,-98.914246,7
41,-7.632577,58.50069,2
42,102.18914,9.186335,13
43,24.71346,180.97836,5
44,-18.647982,-52.487007,7
45,-76.165764,-21.939072,2
46,94.559715,60.245464,13
47,94.9865,-109.08722,13
48,-219.10245,-36.367233,14
49,-198.38481,-27.314596,14
50,36.7198,-153.19562,13
51,-203.90161,-31.462727,14
52,-9.704099,23.110659,2
53,111.559296,-86.92193,13
54,84.64704,-31.19728,13
55,-44.390762,182.06297,2
56,122.97261,61.842342,13
57,-141.69612,-112.15231,11
58,17.454546,43.982243,2
59,-91.32198,-93.14181,7
60,-108.01708,140.26555,6
61,-4.432231,89.0078,2
62,-98.90852,131.39404,9
63,-239.1916,-50.186817,14
64,-201.08545,-78.3535,4
65,-177.82309,118.7962,12
66,45.249928,198.85193,5
67,-28.360321,21.855621,2
68,-149.76405,46.566196,9
69,115.85607,48.57842,13
70,-158.21255,108.509254,12
71,124.17109,-122.45765,13
72,-123.02894,71.588585,2
73,-180.61266,-83.85015,1
74,25.138645,179.48195,5
75,-45.275654,125.33639,15
76,-14.152644,-65.52782,7
77,-143.53815,80.92379,12
78,21.317524,31.838924,2
79,174.37259,81.65185,13
80,-174.03592,27.174763,9
81,-1.9198784,23.200111,2
82,-144.42517,72.73462,2
83,-54.686684,-104.20245,7
84,-235.00806,-14.355945,14
85,-83.807655,87.60015,12
86,41.874424,208.00754,5
87,161.72047,-144.24692,13
88,11.067374,117.92887,15
89,-128.56047,-122.00119,11
90,-252.91664,25.794296,3
91,64.704124,210.68811,5
92,21.665846,-86.24297,7
93,-106.56437,192.43219,6
94,-51.448906,198.80135,6
95,88.06437,201.11908,5
96,-162.24289,4.0119643,9
97,-60.655792,123.756485,15
98,-125.381065,-136.84616,11
99,-6.9458256,-116.50981,7
100,33.178795,196.08069,5
101,-4.3797507,-93.69544,7
102,15.064684,44.578342,2
103,-180.3723,-42.471767,1
104,-110.454025,184.152,6
105,-80.03716,109.44642,15
106,-196.70137,95.53941,12
107,-147.4873,-84.92549,11
108,-148.54964,159.08685,6
109,-38.60874,13.326657,2
110,-40.98126,11.041568,2
111,38.314728,161.0139,5
112,-51.666683,-79.90982,7
113,-17.310175,7.7987695,2
114,-236.1263,56.082287,3
115,5.284907,-70.64637,7
116,-93.95303,-0.75056565,10
117,26.667305,202.15686,5
118,-173.62791,25.6102,9
119,-199.3596,-89.31864,4
120,-11.685967,60.359005,2
121,104.62435,158.62196,5
122,-125.68279,36.250286,9
123,-42.368362,149.27028,15
124,-92.89518,-133.69865,7
125,-137.89583,-8.066549,1
126,162.56828,161.08269,5
127,59.796886,-67.19583,13
128,-21.913368,-45.82816,7
129,-96.400085,32.01004,10
130,227.17451,-23.844835,13
131,-50.52738,13.809055,2
132,-201.54712,-6.603427,9
133,-10.499065,-29.309359,7
134,46.345196,186.00372,5
135,153.55786,-150.60687,13
136,191.63309,-119.42132,13
137,81.90421,69.17895,13
138,118.33868,-120.85967,13
139,113.81672,17.221512,13
140,220.59041,-38.022625,13
141,-48.383484,25.206217,2
142,93.808495,205.98686,5
143,-51.02972,-2.1890018,2
144,-76.73669,-99.6054,7
145,74.85437,47.35252,13
146,-197.03046,-8.455929,9
147,-62.64864,-117.376114,7
148,-135.52509,-48.830082,1
149,-43.868153,-194.06964,7
150,-242.97203,15.145883,3
151,-22.761679,-83.028114,7
152,-179.20815,-90.20778,4
153,-11.128855,97.766335,15
154,-38.645462,8.551064,2
155,-195.37761,-11.6299,14
156,108.78117,65.94289,13
157,-75.92327,44.700016,10
158,-17.77849,88.51997,2
159,-174.37059,10.304759,9
160,-67.32321,7.6638503,2
161,105.72507,67.747375,13
162,227.05087,-48.25001,13
163,-203.96626,11.664051,9
164,146.99141,102.79296,13
165,-166.79008,-95.330765,9
166,-27.284344,50.937603,2
167,33.018772,33.53258,2
168,-146.22604,-60.10925,1
169,77.715614,87.93308,2
170,-41.23061,-69.66376,7
171,-14.554423,153.72633,15
172,85.29189,-136.27626,13
173,-178.52084,-64.288506,4
174,-117.59414,-122.37656,11
175,-207.59283,11.086249,9
176,-53.18739,112.85524,15
177,-175.18689,-24.91696,1
178,18.901485,120.744514,15
179,-162.36647,-134.39253,11
180,-121.7394,166.31789,6
181,-43.56454,9.173246,2
182,155.06036,-41.222965,13
183,102.30638,63.047737,13
184,-43.585396,-55.967007,7
185,-130.86568,-142.99367,11
186,-13.736265,96.138695,15
187,-188.14658,85.33303,12
188,-79.84762,-120.864716,7
189,-266.32626,-26.86854,8
190,48.204857,47.4226,7
191,94.81385,-74.87303,13
192,-132.33543,42.38461,9
193,50.17126,201.55754,5
194,-51.922615,-93.96597,7
195,-107.341965,144.39049,6
196,-90.55342,-30.511574,10
197,-79.83511,24.419733,10
198,-39.64138,10.829712,2
199,-259.7031,23.545485,3
200,-100.96956,52.31308,10
201,-61.232723,-7.0551887,2
202,-52.49324,8.591161,2
203,-192.98094,-4.477604,9
204,-66.115295,212.03403,6
205,151.36217,168.174,5
