,x,y,c
0,66.75077,-47.65013,13
1,101.20579,-59.793404,13
2,-227.85556,-52.690094,14
3,-18.086964,127.939384,7
4,178.18925,60.85386,13
5,-70.6861,221.41632,5
6,-119.06432,113.874374,2
7,-138.1123,-85.86224,11
8,171.6699,61.414364,13
9,-196.93626,18.430859,9
10,164.15027,20.836672,13
11,-51.16427,248.68893,5
12,146.1844,115.023155,7
13,-222.48466,-11.386095,9
14,-114.77985,-58.50391,11
15,-163.22034,-23.529106,10
16,18.908848,-115.15897,13
17,-95.4429,-85.7679,11
18,-16.884857,143.35548,7
19,-54.459114,-98.112465,12
20,-140.59395,-14.294647,10
21,133.12599,119.94015,7
22,-157.4478,32.73185,10
23,86.635475,-151.38562,13
24,-241.73586,75.12983,6
25,26.221214,149.82434,7
26,-55.541008,-111.46688,12
27,-1.6704289,152.29222,7
28,-78.542984,96.273315,2
29,-58.193653,-4.977981,15
30,-189.91614,45.280117,6
31,-169.66486,13.8921175,10
32,133.59282,137.2781,7
33,-30.753809,-38.866707,15
34,-55.267914,107.02153,2
35,-244.2326,30.345694,6
36,-158.07607,88.68803,2
37,-65.124916,129.78853,2
38,-128.03839,43.45649,10
39,-71.311844,-59.311497,15
40,-54.508644,-49.98176,15
41,-119.65852,115.215775,2
42,-46.319927,-20.2683,15
43,-224.28336,6.3785877,9
44,75.16054,170.67393,7
45,-101.28247,-210.02036,3
46,-63.908005,-150.11684,12
47,-115.73067,122.75364,2
48,30.562246,112.20625,7
49,-186.49677,-24.878084,1
50,-165.28029,76.03159,2
51,129.46849,49.66007,13
52,-69.78269,27.24251,2
53,-33.49538,-190.77301,12
54,-62.023624,-189.23688,12
55,-115.37182,-79.02641,11
56,-114.1867,128.27446,2
57,-71.27399,126.278076,2
58,-117.38224,-124.55919,11
59,-220.8409,15.730922,9
60,-56.715637,-114.350365,12
61,20.643353,50.59898,7
62,208.38246,-70.3321,13
63,40.133064,-141.46681,13
64,-216.1031,25.368732,9
65,6.7797427,153.03285,7
66,23.702162,-13.019669,13
67,-156.11076,-97.008705,9
68,147.51343,-125.859116,13
69,101.851814,2.745779,13
70,-156.88533,92.021805,2
71,-66.61762,-217.97098,12
72,-88.39151,64.207924,2
73,-73.00642,113.42964,2
74,-226.8853,-13.573378,9
75,147.30763,-26.722277,13
76,-150.29965,-149.43985,4
77,97.56968,42.719055,13
78,119.64324,-17.05025,13
79,56.254196,-18.78223,13
80,-80.00077,104.201126,2
81,-17.558928,-234.87013,12
82,-229.9318,17.89951,9
83,78.13751,6.4988275,13
84,-128.74178,-55.23356,11
85,20.041517,35.85494,13
86,-49.598587,-58.78603,15
87,-213.43938,-39.678467,1
88,-12.027,138.60542,7
89,-14.118865,-141.46548,12
90,-172.50546,-118.28205,4
91,130.2911,128.57124,7
92,35.534405,66.744385,7
93,97.98762,-170.17905,13
94,-197.49065,100.17026,6
95,34.716717,132.05362,7
96,-111.29663,-23.88048,10
97,-166.76285,-161.8931,3
98,-189.57457,-27.593422,1
99,-121.669785,131.98805,2
100,-228.9446,-14.929752,9
101,-154.016,25.345972,10
102,-98.64046,-47.532127,15
103,-225.9863,-100.1652,14
104,80.02492,71.2807,7
105,-91.9395,-121.280914,11
106,-23.222721,-64.57149,5
107,-119.14039,91.28287,2
108,-82.87638,-24.714178,15
109,-95.36274,105.21562,2
110,-17.4577,-64.62517,2
111,-24.963533,-119.954834,12
112,31.400642,65.4241,7
113,40.270462,202.14116,13
114,-157.14566,91.28474,2
115,-112.937546,-197.402,3
116,17.990252,150.95306,7
117,123.81644,87.68403,7
118,-173.49432,67.2059,2
119,-152.29527,24.026361,10
120,-102.20511,117.21913,2
121,-64.90794,21.676405,15
122,-70.83113,-26.266964,15
123,-114.55731,3.2335513,10
124,-193.75508,91.08007,6
125,108.61036,-0.49266794,13
126,-5.712469,-171.57944,12
127,-122.03903,130.21117,2
128,33.69685,42.761017,13
129,-218.23401,9.255904,9
130,-114.9356,101.70156,2
131,-100.58725,39.091587,10
132,-94.37786,-47.725628,15
133,-145.95647,81.35449,2
134,-191.7221,-62.575832,1
135,-34.11998,233.27745,5
136,-99.04161,-47.738705,15
137,-33.137318,-179.20172,12
138,-202.59119,9.424435,9
139,-90.99255,134.08961,2
140,106.542854,14.057989,13
141,-71.18245,51.3987,2
142,-54.37883,244.01413,5
143,-130.93085,-67.54442,15
144,-221.35336,-5.9478264,9
145,-21.26368,198.38235,5
146,-166.28741,75.034996,2
147,206.86177,-79.08158,13
148,-67.33973,-23.396456,15
149,-188.13287,95.925446,2
150,177.67612,-49.84726,13
151,104.40132,60.97732,13
152,-59.155014,-18.24211,15
153,39.401657,223.14711,5
154,-11.870435,-103.65711,12
155,-46.74031,-233.46866,12
156,-37.73854,-144.0501,12
157,2.1951416,-217.74365,12
158,-10.175224,204.57674,5
159,-161.88664,-8.101068,10
160,-201.80516,-3.1083593,9
161,-55.121628,55.2058,7
162,-126.669044,-151.46446,3
163,-161.33217,-1.9079556,10
164,-26.467638,-123.60569,12
165,138.79723,-44.450813,13
166,-104.73717,101.72282,2
167,-63.96976,107.553825,2
168,-47.613544,50.66418,7
169,57.331024,-87.81708,13
170,-23.68564,119.8256,2
171,-14.128038,146.2829,7
172,-224.38965,24.518908,9
173,-22.782053,26.299791,15
174,99.64542,-16.670681,13
175,38.593822,-16.058903,13
176,-68.57245,-58.00468,15
177,-146.57838,-57.745502,10
178,2.6402886,148.63123,7
179,-71.76165,101.419426,2
180,-107.25947,-7.894664,15
