,x,y,c,ind+1
0,-227.62637,25.64964,8,773
1,14.459747,168.3773,9,1667
2,-88.44942,27.160593,12,2088
3,50.58813,-40.640682,2,2135
4,85.159996,181.25731,6,2302
5,-218.74461,-9.90859,8,2415
6,-66.43013,110.04287,9,2455
7,-92.46489,-95.795586,11,2807
8,-123.17827,-29.782724,4,2950
9,-189.02199,-14.661558,4,3052
10,-165.62839,-12.683952,4,3215
11,-129.97453,-14.787661,4,3409
12,48.973427,190.8436,6,3986
13,-157.06601,-44.949677,4,4136
14,-56.20139,104.68606,4,4242
15,-78.1252,94.43234,4,4312
16,109.88564,62.33422,15,4406
17,-92.85617,-126.583755,11,4709
18,-104.93403,-20.552994,4,4788
19,104.21433,-77.418915,13,4920
20,-1.592689,8.670756,5,5045
21,-9.448069,-46.77211,2,5337
22,-132.852,62.350445,3,5391
23,-70.877945,98.61463,14,5597
24,-74.558205,19.67341,12,5666
25,12.117553,-90.68627,7,6227
26,24.72331,-82.040634,2,6414
27,66.92637,12.462125,5,6443
28,-119.74923,-44.240604,4,6538
29,-133.62312,-0.1436014,4,6571
30,10.0707855,91.847435,9,6624
31,58.008312,-130.18005,13,6829
32,-123.92234,-13.834779,4,7109
33,-221.26413,-18.454536,8,7605
34,-53.52722,-70.717735,11,7749
35,-49.080967,-59.254185,10,7934
36,-85.18195,71.924484,3,8375
37,-102.52208,-30.715036,11,8530
38,36.43303,166.70375,6,8736
39,-140.01288,-28.335392,4,8887
40,-42.36558,90.201744,9,9076
41,-221.95847,31.620436,8,9260
42,-35.140087,-71.97308,11,9636
43,81.082756,156.72684,6,9763
44,65.16985,-133.98782,13,10104
45,-91.91278,114.55739,14,10180
46,23.43714,-54.847916,2,11229
47,-69.82529,111.61021,14,11694
48,-217.79909,-5.759611,8,12908
49,-191.58882,3.1744823,8,13340
50,-163.03282,41.50054,3,13602
51,-60.852478,121.46109,14,14051
52,47.451828,-180.72025,7,14416
53,-146.82645,100.96753,8,14677
54,-135.7503,-34.769886,4,15008
55,-225.38618,7.504897,8,15017
56,-105.91364,22.86168,12,15296
57,-42.071346,114.91092,1,15383
58,-100.84361,40.649487,12,15761
59,-158.63219,-49.012295,4,15955
60,34.526123,-16.065351,5,16543
61,35.14681,178.62456,6,16607
62,65.89676,182.96434,6,16850
63,-42.349194,-141.60226,7,16921
64,-34.10888,124.99171,1,17102
65,110.35192,43.969967,15,17123
66,33.04217,183.82657,6,17790
67,-93.12652,-31.447351,11,17943
68,-239.2433,13.938953,8,18096
69,9.40512,80.01891,9,18621
70,-208.5414,-17.700613,8,18997
71,-157.52997,-50.147266,4,19637
72,-171.83589,-29.14567,4,19936
73,-45.179466,205.6525,1,19949
74,-64.14094,-126.32301,11,20313
75,-74.54739,7.7037086,12,20547
76,-213.65186,30.857975,8,20738
77,-92.69148,-107.693596,11,20824
78,179.69034,8.478599,5,20992
79,85.28217,24.738281,15,21616
80,-52.687927,-0.9936734,12,22081
81,-1.8038806,-45.325424,2,22152
82,58.152473,-137.4851,13,22193
83,-1.800031,-84.66833,7,22575
84,25.179909,-90.8995,2,23233
85,-141.47656,-42.25331,4,23470
86,44.041363,-51.745056,2,23832
87,-104.52836,-33.63514,4,23858
88,-113.70651,-60.100235,11,24103
89,0.7357145,-56.41472,2,24613
90,24.276712,-83.61843,2,24711
91,-200.54758,-27.224487,4,24953
