,x,y,c,ind+1
0,-6.9395466,-10.986008,11,11
1,-23.63018,3.4839683,4,188
2,-8.385224,1.8370737,11,203
3,-31.013603,-6.828261,3,231
4,31.088219,16.425716,6,235
5,9.845663,-9.56873,2,253
6,-18.2452,17.90541,4,290
7,13.475768,-7.2529964,2,468
8,22.250795,-21.335821,13,480
9,12.799132,-14.167896,2,488
10,6.067839,-13.916438,2,531
11,10.911581,-2.2896564,15,539
12,-9.8636465,17.21329,9,578
13,-25.3527,-18.662422,8,628
14,-25.11533,-12.794251,8,638
15,-2.5420606,11.96754,9,660
16,24.421171,-25.979761,13,668
17,16.153093,27.338537,6,736
18,-40.211067,0.7271752,3,800
19,-13.590326,-7.0101495,11,810
20,-21.200249,-16.835545,8,843
21,-36.670307,-0.33931682,3,890
22,-6.6215754,21.277418,1,903
23,9.011055,-18.272806,2,978
24,20.928947,-22.672016,13,1032
25,5.883898,-23.566807,2,1087
26,-26.57615,2.058125,4,1098
27,3.9995682,-9.459638,2,1100
28,-6.5268607,14.06545,9,1172
29,-23.857168,-17.826668,8,1197
30,21.439865,-30.207603,13,1245
31,-8.2620945,-25.600647,7,1270
32,-23.565563,-17.005638,8,1304
33,-27.034777,0.83932,4,1307
34,-16.706882,14.631862,4,1351
35,14.232324,-12.719904,2,1399
36,-25.962395,-2.8380313,4,1440
37,-6.7142305,-8.643334,11,1484
38,27.248747,23.107029,6,1487
39,-5.4708357,7.6380715,4,1566
40,12.888157,-7.553263,2,1611
41,3.4889324,-20.51749,2,1741
42,3.7470832,-7.1882257,2,1772
43,-18.39571,6.2093897,4,1794
44,3.3573475,0.13134298,15,1815
45,13.146416,-28.75459,13,1817
46,-3.832563,20.31042,9,1840
47,2.1751258,-21.90311,7,2019
48,-3.509429,-7.9488425,11,2037
49,-17.04541,7.5152497,4,2052
50,-20.467367,-16.890394,8,2118
51,-9.872078,1.5536747,11,2132
52,-18.857254,25.288794,14,2197
53,-1.5893108,7.218294,9,2262
54,-11.742645,23.110775,14,2281
55,31.14479,18.552797,6,2317
56,-28.583979,-17.013863,8,2322
57,5.082297,-19.797579,2,2400
58,-2.7442448,9.377988,9,2413
59,24.789566,-1.0102147,5,2419
60,13.316639,-16.163088,2,2451
61,-9.096236,22.319477,1,2471
62,6.3815255,-13.993365,2,2545
63,14.31626,-12.256372,2,2557
64,-14.316774,5.5786343,4,2602
65,9.020785,-18.697758,2,2616
66,-8.51739,-8.971919,11,2653
67,-15.366806,25.279484,14,2657
68,-6.994477,16.362963,9,2714
69,-34.59147,14.906101,12,2748
